,STATE,DISTRICT,COLLEGE NAME,ADDRESS
0,ANDAMAN AND NICOBAR ISLAND,PORT BLAIR,DR. B.R. AMBEDKAR INSTITUTE OF TECHNOLOGY,"Polytechnic Road, Pahargaon,, Junglighat, Port Blair, Andaman and Nicobar Islands 744103"
1,ANDHRA PRADESH,CHITTOOR,VAISHNAVI INSTITUTE OF TECHNOLOGY,TANAPALLI(V) KUNTRAPAKKAM(P) TIRUPATI RURAL Tirupati-517503
2,ANDHRA PRADESH,KRISHNA,VIJAYA INSTITUTE OF TECHNOLOGY FOR WOMEN,"Enikepadu, Krishna District, Vijayawada, Andhra Pradesh 521108"
3,ANDHRA PRADESH,NELLORE,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,"3rd Mile,Nellore-Bombay Highway,Gangavaram(V), Kovur(M), S.P.S.R Nellore Ditrict, Nellore, Andhra Pradesh 524137"
4,ANDHRA PRADESH,EAST GODAVARI,GODAVARI INSTITUTE OF ENGINEERING & TECHNOLOGY,"NH-16, Chaitanya Knowledge City, Rajahmundry, Andhra Pradesh 533296"
5,ANDHRA PRADESH,KURNOOL,RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN,"PASUPULA VILLAGE, NANDIKOTKUR ROAD KURNOOL - 518002."
6,ANDHRA PRADESH,GUNTUR,KONERU LAKSHMAIAH EDUCATION FOUNDATION UNIVERSITY (K L COLLEGE OF ENGINEERING),"Green Fields, Vaddeswaram, Guntur, Andhra Pradesh 522502"
7,ANDHRA PRADESH,PRAKASAM,MALINENI LAKSHMAIAH ENGINEERING COLLEGE,"KANUMALLA(V), SINGARAYAKONDA(MD), PRAKASAM (DT), Guntur, Andhra Pradesh 522017"
8,ANDHRA PRADESH,CHITTOOR,ADITYA COLLEGE OF ENGINEERING,"Aditya Nagar, ADB Road, East Godavari, Surampalem, Andhra Pradesh 533437"
9,ANDHRA PRADESH,EAST GODAVARI,INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCES FOR WOMEN,"EAST GONA GUDEM (VIL), RAJA NAGARAM(MAN), EAST GODAVARI (DIST)-533294"
