Unnamed: 0,STATE,DISTRICT,COLLEGE NAME,INTERNATIONAL DIAL CODE ,ADDRESS,DEPARTMENTS,HOD/FACULTY DETAILS,EMAIL ID,PHONE NUMBER,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,ANDAMAN AND NICOBAR ISLANDS,PORT BLAIR,DR. B.R. AMBEDKAR INSTITUTE OF TECHNOLOGY,,"Polytechnic Road, Pahargaon,, Junglighat, Port Blair, Andaman and Nicobar Islands 744103","Civil, CSE, ECE",,utp.sharma(@)gmail.com,3192 - 259587,1,,,
1,ANDHRA PRADESH,CHITTOOR,VAISHNAVI INSTITUTE OF TECHNOLOGY,,TANAPALLI(V) KUNTRAPAKKAM(P) TIRUPATI RURAL Tirupati-517503,"Civil, CSE, ECE, EEE, Mech",,,092480 50222,1,,,
2,ANDHRA PRADESH,KRISHNA,VIJAYA INSTITUTE OF TECHNOLOGY FOR WOMEN,1-2812552988,"Enikepadu, Krishna District, Vijayawada, Andhra Pradesh 521108","CSE, IT, ECE, EEE.",,vijayatechfw@gmail.com,"0866 - 2844444, 2844999",2,,,
3,ANDHRA PRADESH,NELLORE,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,1-2812562275,"3rd Mile,Nellore-Bombay Highway,Gangavaram(V), Kovur(M), S.P.S.R Nellore Ditrict, Nellore, Andhra Pradesh 524137","Civil, CSE, ECE, EEE, Mech",,principal@gist.edu.in,"8622212779, 8622210088",1,,,
4,ANDHRA PRADESH,EAST GODAVARI,GODAVARI INSTITUTE OF ENGINEERING & TECHNOLOGY,1-2812562991,"NH-16, Chaitanya Knowledge City, Rajahmundry, Andhra Pradesh 533296","Civil, CSE, ECE, EEE, Mech, Automoblie Engg, Mining Engg",,principal.6r@gmail.com,"91-883-2484822,55,66,31",1,,,
5,ANDHRA PRADESH,KURNOOL,RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN,1-2812573058,"PASUPULA VILLAGE, NANDIKOTKUR ROAD KURNOOL - 518002.","CSE, ECE, EEE",,principal@recw.ac.in,(+91)9246911869,1,,,
6,ANDHRA PRADESH,GUNTUR,KONERU LAKSHMAIAH EDUCATION FOUNDATION UNIVERSITY (K L COLLEGE OF ENGINEERING),1-2812576577,"Green Fields, Vaddeswaram, Guntur, Andhra Pradesh 522502","Civil, CSE, ECE, EEE, Mech, Bio tech, Petroleum",,nlpar @ kluniversity.in,8645 - 246948,1,,,
7,ANDHRA PRADESH,PRAKASAM,MALINENI LAKSHMAIAH ENGINEERING COLLEGE,1-2812584097,"KANUMALLA(V), SINGARAYAKONDA(MD), PRAKASAM (DT), Guntur, Andhra Pradesh 522017","CSE,IT, ECE, EEE, Sci & Hum, ","Principal : Dr.J.Appa Rao, 9703144772",malinenilec@yahoo.co.in,08598-237345,2,,,
8,ANDHRA PRADESH,CHITTOOR,ADITYA COLLEGE OF ENGINEERING,1-2812603133,"Aditya Nagar, ADB Road, East Godavari, Surampalem, Andhra Pradesh 533437","CSE, ECE, EEE, Mech, IT, minning, petrolem, agricultural","   Dr. S.Ramalinga Reddy
   Principal
   Email: principal@acem.ac.in
   Phone: 08581-257977",,099498 76662,2,,,
9,ANDHRA PRADESH,EAST GODAVARI,INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCES FOR WOMEN,1-2812612914,"EAST GONA GUDEM (VIL), RAJA NAGARAM(MAN), EAST GODAVARI (DIST)-533294","CSE, EE, Agricultural Developement, humanity and sciences.",,"principalists@gmail.com

",095055 06119,1,,,
10,ANDHRA PRADESH,KURNOOL,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,1-2812625288,"Yerrakota, Kurnool, Yemmiganur, Andhra Pradesh 518360","CSE, ECE, EEE, Mech, CE","Dr. J N PRAKASH
Mobile: +91-9963623801 
principal@sjcet.ac.in",principal@sjcet.ac.in,082973 24119,1,,,
11,ANDHRA PRADESH,WEST GODAVARI,SWARNANDHRA INSTITUTE OF ENGINEERING & TECHNOLOGY,1-2812627424,"Seetharampuram, West Godavari District, Narsapur, Andhra Pradesh 534280","Civil, CSE, IT, ECE, EEE, Mech","Principal
Dr.M. Sreenivasa Kumar, M.Tech, Ph.D.(UK).
principal@swarnandhra.ac.in
 08814 - 240588, 240599",principal@swarnandhra.ac.in,"088142 40599
",2,,,
12,ANDHRA PRADESH,WEST GODAVARI,SRI VASAVI ENGINEERING COLLEGE,1-2812628163,"Pedatadepalli, West Godavari District, Tadepalligudem, Andhra Pradesh 534101","Civil, CSE, ECE, EEE, Mech",,principal@srivasaviengg.ac.in,088182 84355,2,,,
13,ANDHRA PRADESH,NELLORE,"MRR INSTITUTE OF TECHNOLOGY & SCIENCE, UDAYAGIRI",1-2812633266,"MRR INSTITUTE OF TECHNOLOGY & SCIENCE, S.R.PURAM ROAD, UDAYAGIRI, NELLORE,DT ANDHRA PRADESH. PIN-524226.","Civil, CSE, ECE, EEE, Mech",,meritstech (@) gmail [dot] com,8620 - 229031,1,,,
14,ANDHRA PRADESH,KURNOOL,SREENIVASA COLLEGE OF ENGINEERING & TECHNOLOGY.,1-2812637240,"Near Sakshi Paper, NH-44,
Gooty Road, Lakshmipuram,
Kurnool-518218.","Civil, CSE, ECE, EEE, Mech, H & S",,info@sectknl.ac.in,"(+91) 9848236563
(+91) 9959259893",1,,,
15,ANDHRA PRADESH,GUNTUR,AMARA INSTITUTE OF ENGINEERING & TECHNOLOGY,1-2812642780,SATULURU POST NADENDLA MD NARASARAOPET GUNTUR DT - 522549,"Civil, CSE, IT, ECE, EEE",,aietnrt(@)gmail . com,8647 - 218188,2,,,
16,ANDHRA PRADESH,SRIKAKULAM,SRI SIVANI INSTITUTE OF TECHNOLOGY,1-2812646917,"Chilakapalem Juntion, Etcheral, Near Ambedkar University, Srikakulam, Andhra Pradesh 532402","Civil, CSE, ECE, EEE, Mech","Dr. B Murali Krishna
Principal
Mob: +91 7382651411
principal@srisivani.com",info@srisivani.com,094413 85616,1,,,
17,ANDHRA PRADESH,GUNTUR,MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLEGE,1-2812653948,"PULLADIGUNTA(V), VATTICHERUKURU(MD), GUNTUR - 522017","CSE, IT, ECE, EEE",,"principal_ke (@) yahoo (.) com
",863 - 2286126,2,,,
18,ANDHRA PRADESH,GUNTUR,CHINTALAPUDI ENGINEERING COLLEGE,1-2812656346,PONNUR ENGINEERING COLLEGE CHINTALAPUDI(P.O) PONNUR(M.D) GUNTUR(D.T) ANDHRA PRADESH-522 124,"Civil, CSE, ECE, EEE, Mech",,pec_principal@yahoo.com,"Mobile: 9490114628
Office : 08643214188 ",1,,,
19,ANDHRA PRADESH,SRIKAKULAM,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1-2812656913,K.KOTTURU (VILL) TEKKALI - 532 201 SRIKAKULAM (DIST) ANDHRA PRADESH,"Civil, CSE, IT, ECE, EEE, Mech",,aditya_tekkali@yahoo.com,"08945245666, 08945245266",2,,,
20,ANDHRA PRADESH,ANANTAPUR,SRI KRISHNADEVARAYA UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,1-2812671231,"Sri Krishnadevaraya Engineering College,
NH-44, Gooty,Anantapur(Dist),
Andhra Pradesh, PIN:515401.","Civil, CSE, ECE, EEE, Mech",,skdgooty@gmail.com,8552260666,1,,,
21,ANDHRA PRADESH,PRAKASAM,PRAKASAM ENGINEERING COLLEGE,1-2812681714,O.V ROAD KANDUKUR PRAKASAM DISTRICT ANDHRA PRADESH-523105,"Civil, CSE, IT, ECE, EEE, Mech","V.Hari Babu
Vice Principal
Mobile: +91 70932 83999",pec@prakasamec.com,085982 22288,2,,,
22,ANDHRA PRADESH,EAST GODAVARI,RAJAMAHENDRI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1-2812683579,"Near Pidimgoyyi, Bhoopalapatnam, East Godavari District, Rajahmundry, Andhra Pradesh 533107
","CSE, IT, ECE, EEE",,rietrjy@yahoo.com,0883-2006066/195/196/197/198/199,2,,,
23,ANDHRA PRADESH,ANANTAPUR,CHIRANJEEVI REDDY INSTITUTE OF ENGINEERING AND TECHNOLOGY,1-2812701552,"Susheela Nagar, Bellary Road, Anantapur, Andhra Pradesh 515001","CE, CSE, ECE, EEE, Mech",,crit_atp [at] yahoo . com,"9666886027,
9666886029",1,,,
24,ANDHRA PRADESH,KRISHNA,SRI CHAITANYA - DJR COLLEGE OF ENGINEERING,1-2812709679,"DJR COLLEGE OF ENGINEERING & TECHNOLOGY, DJR NAGAR, VELPUR VILLAGE, VIA GUDAVALLI VIJAYAWADA - 521104","CE, CSE, ECE, Mech",,Principal : principal.7K@gmail.com,"91-8019840128 (Principal)
",1,,,
25,ANDHRA PRADESH,KRISHNA,SRI VASAVI INSTITUTE OF ENGINEERING & TECHNOLOGY,1-2812717225,NANDAMURU PEDANA MANADAL KRISHNA DISTRICT ANDHRAPRADESH-521369,"Civil, CSE, ECE, EEE, Mech",,srivasavi2007@gmail (dot) com,086722 41387,1,,,
26,ANDHRA PRADESH,CHITTOOR,MADANAPALLE INSTITUTE OF TECHNOLOGY & SCIENCE,1-2812718094,"Kadiri Road, Angallu Village, Chittoor District, Madanapalle, Andhra Pradesh 517325","Civil, CSE, ECE, EEE, Mech","Principal
Dr. C. Yuvaraj
principal@mits.ac.in
+91-9160020789",principal@mits.ac.in,085712 80255,1,,,
27,ANDHRA PRADESH,YSR DISTRICT,NARAYANADRI INSTITUTE OF SCIENCE AND TECHNOLOGY,1-2812721119,"VENKATAPALLI ROAD, NEAR GOVT DEGREE COLLEGE, RAJAMPET,KADAPA DIST, ANDHRA PRADESH PIN-516115.","Civil, CSE, ECE, EEE, Mech",,nist.rajampet@gmail.com,08565- 200112,1,,,
28,ANDHRA PRADESH,GUNTUR,GUNTUR ENGINEERING COLLEGE,1-2812736678,"OPP. KATURI MEDICAL COLLEGE, NH - 5, YANAMADALA, GUNTUR - 522019","Civil, CSE, ECE, EEE, Mech",,gunturenggcollege@gmail.com,"Ph: 0863224 3456, 2226688
Mobile: 9705198481 ",1,,,
29,ANDHRA PRADESH,GUNTUR,NALANDA INSTITUTE OF ENGINEERING & TECHNOLOGY,1-2812740802,"SIDDHARTH NAGAR, KANTEPUDI (V), SATTENAPALLI (M), GUNTUR DISTRICT - 522 438, ANDHRA PRADESH","Civil, CSE,IT, ECE, EEE",,nalanda.office@gmail.com,70939149 27/29,2,,,
30,ANDHRA PRADESH,VISHAKHAPATNAM,VIGNAN'S INSTITUTE OF ENGINEERING FOR WOMEN,1-2812749429,"KAPU JAGGARAJUPETA, VADLAPUDI POST, GAJUWAKA, VISAKHAPATNAM - 530 046","CSE, IT,  ECE, EEE, Mech",,,089120 10486,2,,,
31,ANDHRA PRADESH,KRISHNA,NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,1-2812753990,"NIMRA NAGAR JUPUD,IBRAHIMPATNAM-521 456,KRISHNA DT., ANDHRA PRADESH","Civil, CSE, IT,  ECE, EEE, Mech",,,090107 86786,2,,,
32,ANDHRA PRADESH,EAST GODAVARI,PYDAH COLLEGE OF ENGINEERING,1-2812762136,"PATAVALA, TALLAREVU MANDAL, EAST GODAVBARI DISTRICT. 533461 ","CSE, IT,  ECE, EEE, Mech",,"sriram_pydah [at] yahoo ""dot"" co ""dot"" in",8842315234,2,,,
33,ANDHRA PRADESH,EAST GODAVARI,SRI PRAKASH COLLEGE OF ENGINEERING,1-2812764743,"Govari Konaru, NH. 5, Rajupeta, Tuni, Andhra Pradesh 533401","CSE,ECE, EEE",,sriprakash_spce@rediffmail.com,9494628403/401,1,,,
34,ANDHRA PRADESH,GUNTUR,VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY,1-2812767950,"NAMBUR(V), PEDAKAKANI(M), GUNTUR-522508","Civil, CSE, IT,  ECE, EEE, Mech",,info@vvitguntur.com,"9951023336
9849542336
",2,,,
35,ANDHRA PRADESH,KRISHNA,SREE VAHINI INSTITUTE OF SCIENCE AND TECHNOLOGY,1-2812791026,BEHIND GANESH TEMPLE BYE PASS ROAD TIRUVURU KRISHNA (DT) ANDHRA PRADESH PIN-521235,"Civil, CSE, ECE, EEE, Mech",,sreevahini _at_ gmail (dot) com,8673203199,1,,,
36,ANDHRA PRADESH,KRISHNA,R.K. COLLEGE OF ENGINEERING,1-2812802002,"R.S.NO.52,53 ,NAVEPOTAVARAM VILLAGE,KETHANA KONDA,IBRAHIMPATNAM 521456,VIJAYAWADA,A.P.","CE, CSE, ECE, EEE, Mech",,rkcevza@gmail.com,9515159721,1,,,
37,ANDHRA PRADESH,VIZIANAGARAM,GOKUL GROUP OF INSTITUTIONS,1-2812804847,"Vizianagaram,Piridi, Bobbili, Andhra Pradesh 535568","Civil, CSE, ECE, EEE, Mech",,"mdgokulcollege ""at"" gmail _dot_ com",8944259154,,,,
38,ANDHRA PRADESH,ANANTAPUR,TADIPATRI ENGINEERING COLLEGE,1-2812809794,"Veerapuram (V), Kadapara Road, Anantapur, Tadipatri, Andhra Pradesh 515411
","Civil, CSE, ECE, EEE, Mech",,tectdp@gmail.com,8886688076,1,,,
39,ANDHRA PRADESH,KRISHNA,GUDLAVALLERU ENGINEERING COLLEGE,1-2812811227,"SESHADRI RAO KNOWLEDGE VILLAGE, GUDLAVALLERU-521356, KRISHNA DISTRICT, ANDHRA PRADESH","Civil, CSE, IT, ECE, EEE, Mech",, info@gecgudlavalleru.ac.in,8674-2737378674-2737378674-2737378674-273737,2,,,
40,ANDHRA PRADESH,GUNTUR,R.V.R.& J.C.COLLEGE OF ENGINEERING,1-2812812869,CHANDRAMOULIPURAM CHOWDAVARAM GUNTUR-522 019 ANDHRA PRADESH,"Civil, CSE, IT, ECE, EEE, Mech, CE",,"principal@mail.rvrjcce.ac.in 
principal@rvrjcce.ac.in",0863-2288201 to 204,2,,,
41,ANDHRA PRADESH,VISHAKHAPATNAM,SIMHADRI EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,1-2812816426,"Sabbavaram - Anakapalle Highway, Near Koduru Junction, Sabbavaram Mandal, Visakhapatnam District, Narapadu, Andhra Pradesh 531035","CSE, ECE, EEE, Mech",, simhadhri.enggcollege@gmail.com,"9603185333 , 7799853977",1,,,
42,ANDHRA PRADESH,EAST GODAVARI,BENAIAH INSTITUTE OF TECHNOLOGY & SCIENCES,1-2812817635,"Korukonda Rd, Burugupudi, Andhra Pradesh 533292","Civil, CSE, ECE, EEE, Mech",,vvidyasundar @ gmail (dot) com,"883 - 2409200 ,
08832409255",1,,,
43,ANDHRA PRADESH,CHITTOOR,CHADALAWADA VENKATA SUBBAIAH COLLEGE OF ENGINEERING,1-2812817884,"Chadalawada Nagar, Renigunta Road, Tirupathi, Andhra Pradesh 517506","Civil, CSE, ECE, Mech",,"c.sucharitha9@gmail.com
mohanphy57@gmail.com","9676028118,
 8688722113",1,,,
44,ANDHRA PRADESH,CHITTOOR,KKC INSTITUTE OF TECHNOLOGY & ENGINEERING,1-2812822704,"Parameswara Mangalam, Chittoor, NH-205, Chennai Tiruttani Renigunta Highway, Puttur, Puttur, Andhra Pradesh 517584","Civil, CSE, ECE",,kkcptr@gmail.com,7799723321,1,,,
45,ANDHRA PRADESH,KRISHNA,DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,1-2812833080,"DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING, MACHILIPATNAM PIN - 521 002","Civil, CSE, ECE, EEE, Mech",,principal.dmssvhce@gmail.com ,"91-08672-251993, 250459",1,,,
46,ANDHRA PRADESH,GUNTUR,NARASARAOPETA INSTITUTE OF TECHNOLOGY,1-2812855805,KOTAPPA KONDA ROAD YELLAMANDA(POST) NARASARAOPET(MANDAL) GUNTUR(DIST) ANDHRA PRADESH-522601,"Civil, CSE, ECE, EEE, Mech",,info@nrtit.ac.in,08647- 219135,1,,,
47,ANDHRA PRADESH,PRAKASAM,INDIRA INSTITUTE OF TECHNOLOGY AND SCIENCES,1-2812870872,"Markapur, National Highway 565, Prakasam, Andhra Pradesh 523316","Civil, CSE, ECE, EEE, Mech",,"vennahreddy@gmail.com, iitsmarkapur@gmail.com
","College : 9966958494.
Mobile : 9440266134.",1,,,
48,ANDHRA PRADESH,PRAKASAM,RAO & NAIDU ENGINEERING COLLEGE,1-2812875553,"Ambedkar Colony, Ramnagar, Ongole, Andhra Pradesh 523001","CSE,IT,  ECE, EEE, Mech",,"rnecong77 ""at"" yahoo (.) co (.) in",8592 - 226627,2,,,
49,ANDHRA PRADESH,CHITTOOR,SREENIVASA INSTITUTE OF TECHNOLOGY AND MANAGEMENT STUDIES,1-2812879747,"DR.VISWESWARAIAH ROAD (BANGALORE-TIRUPATHI BYE-PASS ROAD), MURUKAMBATTU POST, CHITTOOR - 517 127.","Civil, CSE, ECE, EE, Mech",,principal (@) sitams(.)org,8572 - 246299,1,,,
50,ANDHRA PRADESH,PRAKASAM,RISE KRISHNA SAI GANDHI GROUP OF INSTITUTIONS,1-2812948733,"NH-5, Valluru, Ongole, Andhra Pradesh 523272","Civil, CSE, ECE, EEE, Mech",Principal : 9502835678,rise_gandhi@yahoo.com,"Reception-1 :    7093383853
Reception-1 :    7093383855",1,,,
51,ANDHRA PRADESH,VIZIANAGARAM,THANDRA PAPARAYA INSTITUTE OF SCIENCE AND TECHNOLOGY,1-2812950889,"komatipally,bobbili, vizaianagaram, Andhra Pradesh 535558","Civil, CSE, ECE, EEE, Mech",,princitpist@gmail.com,089442 57502,1,,,
